leg_no,fn_number,dep_ap_sched,arr_ap_sched,dep_sched,arr_sched,m_offblockdt,m_onblockdt,departure_delay,arrival_delay,sched_flight_time,act_flight_time,ac_registration,change_reason_code,ac_type_code,trans_time,sched_trans_time,trans_time_delay,crew_group,crew_type_change,sched_ground_time,ground_time_delay,act_ground_time,catering_duration,pax_boarding_duration,flight_time_delay,dep_inbound_weekday,arr_weekday,dep_time_of_day,arr_time_of_day,anzahl_personal
272011925,EC3174,Lake Kevin,East Carmen,2019-06-01 05:00:00,2019-06-01 05:45:00,2019-06-01 05:12:00,2019-06-01 05:50:00,12.0,5.0,45.0,38.0,ECLGGX,other problem,DH4,0,0,0,Start,[],135.0,31.0,166.0,,,-7.0,Saturday,Saturday,Morning Peak,Morning Peak,4
271967952,EC2679,East Carmen,West Jason,2019-06-01 05:00:00,2019-06-01 06:15:00,2019-06-01 05:25:00,2019-06-01 06:30:00,25.0,15.0,75.0,65.0,ECLDCX,other problem,320,0,0,0,Start,[],45.0,-11.0,34.0,,,-10.0,Saturday,Saturday,Morning Peak,Morning Peak,5
271989296,EC2914,Desireeton,East Carmen,2019-06-01 05:00:00,2019-06-01 07:15:00,2019-06-01 05:12:00,2019-06-01 07:27:00,12.0,12.0,135.0,135.0,ECLXCX,other problem,320,0,0,0,Start,[],45.0,14.0,59.0,23.0,7.0,0.0,Saturday,Saturday,Morning Peak,Morning Peak,6
271970962,EC2696,West Jason,East Carmen,2019-06-01 05:00:00,2019-06-01 06:15:00,2019-06-01 05:11:00,2019-06-01 06:22:00,11.0,7.0,75.0,71.0,ECLBKX,other problem,320,0,0,0,Start,[],45.0,59.0,104.0,24.0,17.0,-4.0,Saturday,Saturday,Morning Peak,Morning Peak,6
271983866,EC2834,Davidtown,East Carmen,2019-06-01 05:00:00,2019-06-01 06:55:00,2019-06-01 05:15:00,2019-06-01 07:04:00,15.0,9.0,115.0,109.0,ECLWOX,other problem,E95,0,0,0,Start,[],70.0,60.0,130.0,28.0,15.0,-6.0,Saturday,Saturday,Morning Peak,Morning Peak,5
272188284,EC2717,Lake Richardberg,Lake Lawrencechester,2019-06-01 05:00:00,2019-06-01 06:10:00,2019-06-01 05:03:00,2019-06-01 06:01:00,3.0,-9.0,70.0,58.0,ECLWJX,other problem,E95,0,0,0,Start,[],40.0,12.0,52.0,,,-12.0,Saturday,Saturday,Morning Peak,Morning Peak,5
271992570,EC2974,West Danielport,East Carmen,2019-06-01 05:05:00,2019-06-01 06:35:00,2019-06-01 05:08:00,2019-06-01 06:32:00,3.0,-3.0,90.0,84.0,ECLBQX,other problem,320,0,0,0,Start,[],45.0,29.0,74.0,19.0,15.0,-6.0,Saturday,Saturday,Morning Peak,Morning Peak,6
271985376,EC2867,East Carmen,Kennethfort,2019-06-01 05:05:00,2019-06-01 07:15:00,2019-06-01 05:29:00,2019-06-01 07:29:00,24.0,14.0,130.0,120.0,ECLBEX,other problem,320,0,0,0,Start,[],45.0,-14.0,31.0,,,-10.0,Saturday,Saturday,Morning Peak,Morning Peak,6
271984663,EC2859,East Carmen,West Ana,2019-06-01 05:10:00,2019-06-01 07:10:00,2019-06-01 05:20:00,2019-06-01 07:23:00,10.0,13.0,120.0,123.0,ECLGBX,other problem,DH4,32,35,-3,A,"['cp', 'ca', 'ca']",50.0,50.0,100.0,15.0,12.0,3.0,Saturday,Saturday,Morning Peak,Morning Peak,4
272217396,EC4557,Fisherhaven,Lake Gregory,2019-06-01 05:10:00,2019-06-01 07:30:00,2019-06-01 05:36:00,2019-06-01 07:52:00,26.0,22.0,140.0,136.0,ECLGIX,other problem,DH4,0,0,0,Start,[],35.0,-7.0,28.0,,,-4.0,Saturday,Saturday,Morning Peak,Morning Peak,4
271978206,EC2764,North Jeffrey,East Carmen,2019-06-01 05:10:00,2019-06-01 06:55:00,2019-06-01 05:29:00,2019-06-01 07:11:00,19.0,16.0,105.0,102.0,ECLDBX,other problem,320,0,0,0,Start,[],80.0,1.0,81.0,20.0,17.0,-3.0,Saturday,Saturday,Morning Peak,Morning Peak,5
272013334,EC3189,East Carmen,Lloydtown,2019-06-01 05:10:00,2019-06-01 06:20:00,2019-06-01 05:28:00,2019-06-01 06:39:00,18.0,19.0,70.0,71.0,ECLWEX,other problem,E95,0,0,0,Start,[],45.0,-8.0,37.0,,,1.0,Saturday,Saturday,Morning Peak,Morning Peak,5
271957109,EC2577,East Carmen,Lake Lawrencechester,2019-06-01 05:10:00,2019-06-01 06:40:00,2019-06-01 05:30:00,2019-06-01 06:52:00,20.0,12.0,90.0,82.0,ECLBJX,other problem,320,0,0,0,Start,[],70.0,-9.0,61.0,,,-8.0,Saturday,Saturday,Morning Peak,Morning Peak,6
271981054,EC2807,East Carmen,South Loriview,2019-06-01 05:10:00,2019-06-01 06:55:00,2019-06-01 05:27:00,2019-06-01 07:06:00,17.0,11.0,105.0,99.0,ECLXEX,other problem,320,0,0,0,Start,[],80.0,16.0,96.0,,,-6.0,Saturday,Saturday,Morning Peak,Morning Peak,6
271999073,EC3027,East Carmen,Gilbertland,2019-06-01 05:10:00,2019-06-01 06:50:00,2019-06-01 05:27:00,2019-06-01 06:55:00,17.0,5.0,100.0,88.0,ECLBTX,other problem,320,0,0,0,Start,[],80.0,24.0,104.0,,,-12.0,Saturday,Saturday,Morning Peak,Morning Peak,6
271982456,EC2827,East Carmen,Davidtown,2019-06-01 05:15:00,2019-06-01 07:10:00,2019-06-01 05:36:00,2019-06-01 07:26:00,21.0,16.0,115.0,110.0,ECLBUX,other problem,320,0,0,0,Start,[],50.0,-16.0,34.0,,,-5.0,Saturday,Saturday,Morning Peak,Morning Peak,7
272001196,EC3056,North Christopherburgh,East Carmen,2019-06-01 05:15:00,2019-06-01 06:15:00,2019-06-01 05:34:00,2019-06-01 06:26:00,19.0,11.0,60.0,52.0,ECLGJX,other problem,DH4,0,0,0,Start,[],105.0,15.0,120.0,,,-8.0,Saturday,Saturday,Morning Peak,Morning Peak,4
